Nr,Name,Email,Telefon,Web
27,Steinhauer Horst,info@bauunternehmen-steinhauer.de,(06032) 8 10 20,https://www.gelbeseiten.de/gsbiz/a8821bb0-0f7a-495e-ab85-006f8d641a42
28,ALTUS BAU GmbH,info@altus-bau.de,(0451) 48 09 80,https://www.gelbeseiten.de/gsbiz/3cf8b8b4-aa83-4b1f-a41a-9c7f1ebb1c38
29,Hoch- und Ausbau Bruchnow & Riedel GbR,info@bruchnow-riedel-gbr.de,(038326) 61 11 04,https://www.gelbeseiten.de/gsbiz/81425ee5-38e2-49b1-8656-ecf309b4e032
30,"HTS Hoch-, Tief- und Stahlbetonbau GmbH",info@hts-boblitz.de,(03542) 89 31 37,https://www.gelbeseiten.de/gsbiz/3974bb5d-c4fb-4e0e-aa62-0dad3465085e
31,"HTS Hoch-, Tief- und Stahlbetonbau GmbH",info@hts-boblitz.de,(03542) 89 31 37,https://www.gelbeseiten.de/gsbiz/3974bb5d-c4fb-4e0e-aa62-0dad3465085e
32,"Martin Hoch-Tiefbau GmbH, Klaus",nadine.langert@martin-hochbau-tiefbau.de,(02365) 4 50 85,https://www.gelbeseiten.de/gsbiz/b3e0045f-55fd-47a4-890c-28b90c52479d
33,Hammer GbR. Hoch- und Tiefbau,kontakt@hammer-gbr.de,(02294) 3 88,https://www.gelbeseiten.de/gsbiz/17edf859-d8ad-40a9-bf87-fef31f778a07
34,Heidrich Bauzentrum,info@bauzentrum-heidrich.de,(036622) 8 08-0,https://www.gelbeseiten.de/gsbiz/d52057b3-2e38-4e60-b757-2ced2616714f
35,Feucht & Röntgen GmbH,info@feucht-roentgen.de,(02403) 8 30 27 27,https://www.gelbeseiten.de/gsbiz/2c959b47-31ef-42b2-b7a9-a2859e69c0e1
36,Herold Hoch - u. Tiefbau GmbH,mail@herold-bau.de,(036426) 5 41-0,https://www.gelbeseiten.de/gsbiz/00c47f11-adfa-458a-9c17-7a59322faafe
37,Architekturbüro-Mottaghi,n.mottaghi@gmx.de,(0231) 92 72 43 54,https://www.gelbeseiten.de/gsbiz/e387148f-893d-4bf4-9d0a-6671c091724c
38,Stadtverwaltung Stadt Aschaffenburg,Stadt-Aschaffenburg@aschaffenburg.de,(06021) 3 30-0,https://www.gelbeseiten.de/gsbiz/020f6de0-5cf0-47f9-a3ad-9d94b6f8b62f
39,Axt Christian,ienstleistung.christian.axt@googlemail.com,(033056) 7 52 08,https://www.gelbeseiten.de/gsbiz/9f837c45-f800-4103-b409-5971187c3c9e
40,VEWO Wohnungsverwaltung GmbH,info@vewo-gmbH.de,(0209) 9 41 13-0,https://www.gelbeseiten.de/gsbiz/518abd9f-1cf7-4b30-9b33-41a12a7bd685
41,Schalk Bau - GmbH & Co. KG,info@schalkbau.de,(09129) 90 29-0,https://www.gelbeseiten.de/gsbiz/51cc65a6-d25f-4aa1-831d-e74a48777b4d
42,Flat Bau GmbH,info@flat-bau.de,(033201) 5 00 40,https://www.gelbeseiten.de/gsbiz/c6d6c868-7fe6-47c3-b507-70d3f23e3bb7
43,UK-Dienstleistungsservice,info@uk-dienstleistungsservice.de,(0208) 6 20 66 26,https://www.gelbeseiten.de/gsbiz/64e9ec6b-15a7-41ca-a2b1-909fe8bb6e27
44,KF-Bau Feuchtenberger Klaus,klaus.feuchtenberger@gmx.de,(09831) 8 82 02 66,https://www.gelbeseiten.de/gsbiz/1a8fa3d3-9a3a-4565-9716-8bc33410cc46
45,HMK BAU UG (haftungsbeschränkt),Post@hmk-bau.de,(0152) 53 62 83 14,https://www.gelbeseiten.de/gsbiz/882efb13-0c12-4d68-a380-27886167f919
46,Bauunternehmung G. HASENMAIER GmbH & Co. KG,info@bauunternehmung-hasenmaier.de,(07033) 3 13 38,https://www.gelbeseiten.de/gsbiz/12397d55-ef25-4452-ad96-48f8f0fafe4b
47,Franz Traub GmbH & Co. KG,info@franz-traub.de,(07367) 8 20,https://www.gelbeseiten.de/gsbiz/362417cf-4401-4409-ad3b-4a18e41ce043
48,Straßen- und Tiefbau Meyer GmbH,info@meyer-strassenbau.de,(02203) 96 62 90,https://www.gelbeseiten.de/gsbiz/9f700e51-b8e3-4ff8-9f07-90bbf3747a85
49,Wörner-Bau GmbH,info@woerner-bau.net,(07551) 83 47 40,https://www.gelbeseiten.de/gsbiz/98cc6950-76be-4119-815e-a6d09326e901
50,Rudolf Schmidt GmbH & Co. KG,info@rsb-bau.de,(02291) 26 14,https://www.gelbeseiten.de/gsbiz/a83c37a9-9e65-4c2b-a5c2-8cf3b90b4105
51,Bausanierung Winkelmann,sbw1@gmx.de,(03841) 25 26 77,https://www.gelbeseiten.de/gsbiz/74169d64-4446-4a04-864b-d0d0bb71fd54
52,Buschhaus Kai Bau GmbH,info@buschhaus-bau.de,(0212) 5 67 09,https://www.gelbeseiten.de/gsbiz/e270224f-406a-4cbc-a3ac-463d1635630a
53,ARZ Baumanagement,info@arzbau.de,(0821) 2 18 57 92,https://www.gelbeseiten.de/gsbiz/4100f40a-e7de-4d20-8322-96b2d6d24d74
54,Baugesellschaft Frahm GmbH,info@frahm-bau.de,(03341) 31 18 00,https://www.gelbeseiten.de/gsbiz/0cba5c5e-aa86-4d3e-a51d-5268c704890e
55,Friedel Tillmann Straßen- und Wegebau GmbH,info@friedel-tillmann.de,(02904) 7 12 60,https://www.gelbeseiten.de/gsbiz/5806483c-a97b-478c-b994-714b5e51bae5
56,Haas Straßen- u. Tiefbau GmbH,info@haas-tiefbau.de,(02332) 55 86 80,https://www.gelbeseiten.de/gsbiz/a1230d36-09e1-40ec-8d9f-c2b3f6aabb8e
57,Thönissen Strassenbau GmbH,info@thoenissen-strassenbau.de,(02232) 4 23 05,https://www.gelbeseiten.de/gsbiz/31c8d09a-5c06-43ac-b7f7-4c45721302c3
58,Dachdeckerei Schleußig GmbH & Co.KG,dachdeckerei-schleussig@web.de,(0341) 9 46 98 30,https://www.gelbeseiten.de/gsbiz/ba42a387-dd81-4362-95ea-6c10bba499b8
59,Paul Swertz GmbH Bauzentrum,kleve@swertz-bauzentrum.de,(02821) 5 91-0,https://www.gelbeseiten.de/gsbiz/78a2738d-724a-4ec4-b827-4e403e4fd50b
60,Joseph Sturm GmbH Straßen- und Tiefbau,sturmgmbh@netcologne.de,(0221) 88 89 98 51,https://www.gelbeseiten.de/gsbiz/1d7d46cb-12f7-4d01-b58b-9de5f834dab3
61,Hans Böck GmbH & Co.,info@boeck-bau.de,(08321) 6 66 30,https://www.gelbeseiten.de/gsbiz/785edbf9-e97c-4add-9071-bfa069d97ee1
62,Hubert Schmid Bauunternehmen GmbH,info@hubert-schmid.de,(08342) 96 10 01,https://www.gelbeseiten.de/gsbiz/4029911b-49cb-4217-a659-25cc4e3388d6
63,Xaver Schmid GmbH & Co. Bauunternehmen KG,info@xaverschmid.de,(08342) 4 00 20,https://www.gelbeseiten.de/gsbiz/cbab95c4-3bed-48b2-947b-368a984c5b2e
64,WOGE-Team-Haus- und Grundstück,woge-team@t-online.de,(0381) 8 01 60 67,https://www.gelbeseiten.de/gsbiz/5a5cd71d-7cb3-42fe-819e-77eef2f7a8c4
65,Kömpf Bauzentrum,info@koempf.de,(07031) 7 61-6,https://www.gelbeseiten.de/gsbiz/c9eddd2a-0d61-474b-abfe-ccfb95a8cb38
66,Durek Bau,info@durek-bau.de,(0173) 7 14 43 14,https://www.gelbeseiten.de/gsbiz/550de773-f00f-4457-ade3-4e1dcf417723
67,Weingarten Bauunternehmung GmbH,info@weingarten-gmbh.de,(0221) 60 80 62,https://www.gelbeseiten.de/gsbiz/9c245eb8-63f1-4e42-b6df-5bd1c8d433af
68,Ingenieurbüro Neis-Müller,neis-mueller@t-online.de,(0214) 50 62 75,https://www.gelbeseiten.de/gsbiz/6155cb5b-3a70-4e56-b960-f1c49da9680d
69,Arlt Komplettbau GmbH,zentrale@arltbau.de,(09081) 2 10 50,https://www.gelbeseiten.de/gsbiz/13328b12-9476-4b08-83ad-70843a10b87b
70,BK Bauunternehmen GmbH,info@bkbauu.de,(07221) 1 88 53 15,https://www.gelbeseiten.de/gsbiz/e1df88d4-92ed-4163-b685-29c2399dd538
71,Walter Müller & Sohn Tiefbau GmbH,wmuellerundsohn@web.de,(02409) 15 10,https://www.gelbeseiten.de/gsbiz/1fdde75b-9962-49a3-bb8c-44d75c691066
72,Lemmer & Fuchs GmbH,info@lemmer-fuchs.de,(09462) 94 02-0,https://www.gelbeseiten.de/gsbiz/b39053fe-2b15-4be5-8db6-d2594a87950a
73,Lück & Wahlen Baugesellschaft GmbH & Co KG,info@lueck-wahlen.de,(02421) 20 99 60,https://www.gelbeseiten.de/gsbiz/8331e02a-e0ce-4fc9-8423-7ad828e413fe
74,MTT Hoch- und Tiefbau GmbH,info@mttbau.de,(036604) 8 67-0,https://www.gelbeseiten.de/gsbiz/a67fe35f-25fb-4be3-8aee-42bef7cbdc3e
75,Architektur + Stadtplanung Thieser Karla,architektur@karla-thieser.de,(02331) 90 29 30,https://www.gelbeseiten.de/gsbiz/8a693536-511a-4351-8cb3-827b456c1c23
76,Werner Klothen Tief- und Straßenbau GmbH,werner-klothen-gmbh@t-online.de,(02451) 48 27 80,https://www.gelbeseiten.de/gsbiz/c7a965b1-6570-4d77-8e9d-3d1f36677528
77,Architektur Grotegut Claudia,info@claudia-grotegut.de,(0201) 4 90 20 10,https://www.gelbeseiten.de/gsbiz/d2edaca1-8cb1-48b2-90c2-d9f42e67d5ad
78,Gebrüder Schmid GmbH,gebr.w.schmid@gmx.de,(08231) 91 56 16,https://www.gelbeseiten.de/gsbiz/48873fd1-1a27-4178-9352-ebdfccf67311
79,Altbausanierung Bauunternehmen Stottrop GmbH,info@stottrop-bau.de,(0201) 25 28 66,https://www.gelbeseiten.de/gsbiz/3a8fb084-9b58-460a-a22d-bd3ae2acfbf3
80,NHL Bau GmbH,anfrage@nhl-bau.de,0173 2 88 89 99,https://www.gelbeseiten.de/gsbiz/e9f5bd37-70d7-46e3-8d88-8f1cc171c893
81,Fugunternehmen Dobben GbR,Thomas-Dobben@web.de,0175 4 17 09 60,https://www.gelbeseiten.de/gsbiz/473447c8-eb49-47f8-b3bf-d00ef68b5a3a
82,Rainer Kraforst Tief- und Gartenbau,info@tiefundgartenbau.de,(02257) 31 79,https://www.gelbeseiten.de/gsbiz/3f7e1790-f1f6-4fc9-90ef-76d93f457dd3
83,L.A.W. Ingenieure GmbH & Co. KG,info@law-ing.com,(06321) 5 77 02 32,https://www.gelbeseiten.de/gsbiz/82b806f8-99ab-47b9-a98f-b2394c831560
84,Hirsch Josef Dipl.-Ing.,info@hirsch-bau-egweil.de,none,https://www.gelbeseiten.de/gsbiz/b7ebd723-f2b8-4a4f-8bfc-6d0ae7c59d14
85,Hirsch Josef Dipl.-Ing.,info@hirsch-bau-egweil.de,(08424) 89 00-0,https://www.gelbeseiten.de/gsbiz/b7ebd723-f2b8-4a4f-8bfc-6d0ae7c59d14
86,Ader Hoch-u. Tiefbau GmbH,info@ader-bau.de,(03695) 63 97 70,https://www.gelbeseiten.de/gsbiz/d7de45f9-322e-4a36-a831-2281b4574e4c
87,Baustein Generalunternehmen GmbH,bbg-gmbh@gmx.de,0170 4 06 18 29,https://www.gelbeseiten.de/gsbiz/d32c5997-a1a9-42e4-9296-513997d1e62c
88,Bock Engineering Inhaber Andreas Bock,mail@bock-engineering.de,(03695) 62 08-0,https://www.gelbeseiten.de/gsbiz/d03e0a5e-8bd9-476f-b9af-2e75422b2d41
89,EHB Eisenacher Hochbau GmbH,info@hochbau-eisenach.de,(03691) 70 09 01-0,https://www.gelbeseiten.de/gsbiz/c4347f31-4a48-43f4-b99c-6aae8933f07c
90,Ingenieurgemeinschaft Führer-Kosch-Jürges GbR,post@fuehrer-kosch-juerges.de,(0241) 91 25 66,https://www.gelbeseiten.de/gsbiz/20d4515f-18d5-4587-b61c-8e9044eaefca
91,Peter Borchardt GmbH,peter.borchardt_erdbau@t-online.de,(0431) 7 99 25 25,https://www.gelbeseiten.de/gsbiz/c60ab864-bdc7-48d2-9893-76f6f80d898f
92,Nissen Bau GmbH,info@nissen-bau.de,(04562) 25 55 44,https://www.gelbeseiten.de/gsbiz/5912dc0a-1328-4e0f-9d32-10f99d1f5b3c
93,Geckeler Hoch- u. Tiefbau GmbH,info@geckeler-bau.de,(07128) 25 59,https://www.gelbeseiten.de/gsbiz/ca3ba48d-f5e3-4879-9d56-9e41f7a52352
94,innovo Bau GmbH,info@innovo-bau.de,(08131) 9 04 90-0,https://www.gelbeseiten.de/gsbiz/18dd86c1-14e0-4d0b-9056-4eeebc675bf3
95,Baustoffe Wagner GmbH & Co.KG,info@baustoffe-wagner.de,(06835) 9 20 10,https://www.gelbeseiten.de/gsbiz/b1367568-3361-44f6-bf4c-309aa378b375
96,BARU Hoch- und Tiefbau GmbH,info@baru-bau.de,(03672) 4 84-0,https://www.gelbeseiten.de/gsbiz/399f93ff-88eb-46bf-b797-8eb772bf9ffc
97,HOCHTIEF Construction,info-solutions@hochtief.de,(0361) 67 33-0,https://www.gelbeseiten.de/gsbiz/583e532d-55f7-40ec-a91a-3f2fb122be17
98,Bingel-Bau GmbH & Co.KG,n.bingel@bingel-bau.de,(036076) 5 79-0,https://www.gelbeseiten.de/gsbiz/9b42153a-3aa2-48ef-b931-7ce8698cb9d4
99,E.K.L. Kabel- und Leitungsbau GmbH,info@ekl-kabelbau.de,(08191) 9 15 77-0,https://www.gelbeseiten.de/gsbiz/e00f6276-66ca-43d2-96e9-ea9c46e2a391
100,"Franz Kassecker GmbH, Geschäftsstelle München",muenchen@kassecker.de,(0811) 5 41 55 20,https://www.gelbeseiten.de/gsbiz/b3d4d4a8-1b73-4409-8149-96f7edf0ce7c
101,Hauptstein Albert,info@hau-s-gmbh.de,(089) 6 13 49 00,https://www.gelbeseiten.de/gsbiz/429aef93-888d-42e3-be54-6c9749345a0b
102,"HTI Hoch-, Tief- und Industriebau GmbH Greußen - Niederlassung Erfurt",info@hti-greussen.de,(0361) 6 57 58-0,https://www.gelbeseiten.de/gsbiz/86a47256-7a6f-40de-86bc-18e0915b90b1
103,Kotz Hans - Hoch- und Tiefbau GmbH,info@hanskotzgmbh.de,(08861) 77 79,https://www.gelbeseiten.de/gsbiz/75fc0420-0dae-4220-bcc3-daae5ffbd8c7
104,Bauunternehmen Bernd Gumbrecht,info@gumbrecht-bau.de,(0911) 75 11 70,https://www.gelbeseiten.de/gsbiz/ef13e15b-c03b-4434-b086-0e8b7f5aec38
105,Nolte - Holzbau und Zimmerei,info@nolte-holzbau.de,(0201) 28 60 24,https://www.gelbeseiten.de/gsbiz/a974dc02-12e6-42d2-bdb5-071febb55d5b
106,Ferdinand Pabst + Söhne GmbH,info@kanalbau-pabst.de,(0171) 4 93 59 04,https://www.gelbeseiten.de/gsbiz/5d704e31-acce-4a56-8b4c-c81b9745642a
107,Habau Hoch- u. Tiefbau GmbH,office@habau.at,(036333) 6 52 70,https://www.gelbeseiten.de/gsbiz/c0c17b6f-b56e-49a6-a614-cf48bc53c495
108,Hans Scheidecker GmbH & Co. KG,info@hs-wohnbau-gmbh.de,(08142) 4 52 57,https://www.gelbeseiten.de/gsbiz/c39870c8-7ccd-4a64-82be-0b59b984b4f4
109,Hehl & metzger GmbH & Co. KG,info@hehl-metzger.de,(07631) 74 88 74,https://www.gelbeseiten.de/gsbiz/2b7cc0a0-5131-4903-83cd-0e6dfd5698da
110,HOCHTIEF Solutions AG,info-solutions@hochtief.de,(0361) 5 66 16 93,https://www.gelbeseiten.de/gsbiz/393e21f0-03c7-40ef-9c9f-357abb7c21d8
111,HOCHTIEF Solutions AG Conciergebereich,info-solutions@hochtief.de,(0361) 5 40 27 80,https://www.gelbeseiten.de/gsbiz/37638d9e-f95a-4416-819b-153eacaedcbf
112,Kirchner Hochbau,info.khe@kirchner.de,(0361) 7 83 24 01,https://www.gelbeseiten.de/gsbiz/33e59b20-9e5f-4193-8369-8fcea58da884
113,MT Spezialtiefbau,info@mtspezialtiefbau.de,(08456) 9 19 33 21,https://www.gelbeseiten.de/gsbiz/2216efcc-20e4-461d-9367-52e7026f6957
114,Ostermaier + Pittrich GmbH & Co. Bauträger KG,ostermaier-pittrich@t-online.de,(08192) 99 81 27,https://www.gelbeseiten.de/gsbiz/d0eb4609-404c-4ae0-9180-3d93e0b0cabf
115,Wagner Hoch und Tiefbau GmbH,lars@wagner-hoch-tief.de,(036840) 40 99 95,https://www.gelbeseiten.de/gsbiz/7c2bd525-99f0-457a-ad71-f4a4d26bb2bf
116,Baugesellschaft Heitfeld Hugo GmbH & Co. KG,mail@heitfeld-bau.de,(02309) 20 51,https://www.gelbeseiten.de/gsbiz/ce9477a1-61bd-495a-ad46-8d8a1422961e
117,TURN KEY Hochbau GmbH,info@turnkey-wandlitz.de,(033397) 60 06 00,https://www.gelbeseiten.de/gsbiz/baed4070-e4e5-4a49-8133-6aa13c8ed034
118,Heydrich Joachim,info@bauunternehmen-heydrich.de,(03661) 6 32 41,https://www.gelbeseiten.de/gsbiz/455d2759-b595-4b75-8eb1-244cf5c860bd
119,Avendi. Bau GmbH,info@avendi-bau.de,0172 4 18 89 96,https://www.gelbeseiten.de/gsbiz/8368886e-e6f5-423d-9f2d-01d330ea200c
120,iwan hochbau gmbh,iwanhochbau@arcor.de,(089) 87 18 12 45,https://www.gelbeseiten.de/gsbiz/8cd57e93-a5dd-4e92-9a3d-aa70d018e286
121,MK-Bau Köhler,marcoundkristin@t-online.de,(0177) 2 26 31 92,https://www.gelbeseiten.de/gsbiz/164c6e3f-e625-4c7e-9f9c-cb792970bdd3
122,bauplus Heckmann GmbH,info@bauplus-heckmann.de,(02381) 3 05 45 70,https://www.gelbeseiten.de/gsbiz/993030fc-18c3-4e4f-b731-e64fc11f20c2
123,Heigl Bernd Dipl.-Ing.(FH),berndheigl@t-online.de,(0821) 66 55 46,https://www.gelbeseiten.de/gsbiz/927d6dae-6788-41e4-8e66-342cd0371893
124,avantgarde Architektur + Design KenChiku,gravius@kenchiku.de,(0201) 64 61 04 40,https://www.gelbeseiten.de/gsbiz/94306fd1-ca82-43f0-baa6-ab13df3e39fc
125,NEUSER Ingenieure Beratende Ingenieure Hoch- und Brückenbau PartG mbB,mail@neuser-ing.de,(06074) 48 40 10,https://www.gelbeseiten.de/gsbiz/6b4c794c-f5c6-4d58-9860-4340a38643df
126,der Fuger GmbH,derfuger@gmx.de,(0511) 7 85 24 60,https://www.gelbeseiten.de/gsbiz/3ea1a956-9abc-41c7-89c6-a09755bc3270
127,Blastik Bauunternehmen GmbH,blastik-rhbg@blastik-bau.de,(02844) 13 77,https://www.gelbeseiten.de/gsbiz/3efef654-0dd3-465c-a660-ea399b27929e
128,Bauunternehmung Schulte GmbH & Ko. KG,info@schulte-bau.net,(02331) 90 28 11,https://www.gelbeseiten.de/gsbiz/60c5556f-c09c-4cec-8f18-fdaf92473dd6
129,hagebaumarkt Goch Paul Swertz GmbH,hagebaumarkt.goch@swertz-bauzentrum.de,(02823) 92 94-0,https://www.gelbeseiten.de/gsbiz/78a2738d-724a-4ec4-b827-4e403e4fd50b
130,Ludwig Kunz GmbH,info@kunz-baustoffe.de,(06196) 4 11 18,https://www.gelbeseiten.de/gsbiz/ad67f745-cf3a-4fba-b392-1ae66f6b8299
131,Rudolph Fritz GmbH,info@rudolph-bauunternehmung.de,(0721) 86 51 21,https://www.gelbeseiten.de/gsbiz/1066296e-f5de-4b29-8e35-7a132710a45f
132,WACKERBAU GmbH & Co. KG,info@wacker-bau.de,(0781) 78 72-0,https://www.gelbeseiten.de/gsbiz/1bd37add-bbca-4145-8252-fc1bcd13a00a
133,Brigsinsky Bauunternehmen seit 1965,klaus_brigsinsky@t-online.de,(0391) 6 20 17 70,https://www.gelbeseiten.de/gsbiz/245eb919-2d98-4d38-a58d-ee767c3906ee
134,Dressel Frank Bauunternehmen,frank-dressel@web.de,(0175) 8 31 22 26,https://www.gelbeseiten.de/gsbiz/68d7079a-a7ff-4712-bf68-fa33040c56cc
135,Müller Baugeschäft GmbH,info@mueller-bg.de,(0911) 9 34 49 30,https://www.gelbeseiten.de/gsbiz/90c44ecc-a70d-4f7f-b3ae-7dbd1e221b8e
136,Böhner Bau GmbH + Co. KG,info@boehnerbau.de,(09729) 92 26,https://www.gelbeseiten.de/gsbiz/19b01a84-5d57-4ef4-b047-1cf2e7ac871b
137,Hermann Hubert GmbH,info@hubert-bau.de,(0911) 94 19 09-0,https://www.gelbeseiten.de/gsbiz/fac3524c-502d-4404-a375-a43edae74762
138,"Dipl.-Ing. Dawin Riegel, Öffentlich bestellter Vermessungsingenieur",kontakt@meise-vermesssung.de,(02161) 2 69 70,https://www.gelbeseiten.de/gsbiz/53ec14e5-8c72-4bee-bb70-121c6fa243a2
139,Wortmann Ingenieurgesellschaft mbH,ib@wortmann-muenster.de,(0251) 9 19 96 40,https://www.gelbeseiten.de/gsbiz/79a648c6-6902-41f2-b83e-14757a81d330
140,Bauunternehmung Wilhelm Petz GmbH,info@petz-bau.de,(089) 42 90 40,https://www.gelbeseiten.de/gsbiz/186eb17d-d581-4bbb-b210-ac9a47ee79c8
141,Sternbau Immobilien GmbH,info@sternbau24.de,(02161) 9 92 24 80,https://www.gelbeseiten.de/gsbiz/be22ef54-ac56-49d0-b6e2-42cdb6279b87
142,Sternbau Immobilien GmbH,info@sternbau24.de,(02161) 9 92 24 80,https://www.gelbeseiten.de/gsbiz/be22ef54-ac56-49d0-b6e2-42cdb6279b87
143,sternbau Immobilien GmbH,info@sternbau24.de,(02161) 9 92 24 80,https://www.gelbeseiten.de/gsbiz/be22ef54-ac56-49d0-b6e2-42cdb6279b87
144,Sternbau Immobilien GmbH,info@sternbau24.de,(02161) 9 92 24 80,https://www.gelbeseiten.de/gsbiz/be22ef54-ac56-49d0-b6e2-42cdb6279b87
145,Sternbau Immobilien GmbH,info@sternbau24.de,(02161) 9 92 24 80,https://www.gelbeseiten.de/gsbiz/be22ef54-ac56-49d0-b6e2-42cdb6279b87
146,Sternbau Ingenieurbüro für Bauplanung und Baustatik,info@sternbau24.de,(02161) 9 92 24 80,https://www.gelbeseiten.de/gsbiz/be22ef54-ac56-49d0-b6e2-42cdb6279b87
147,Bauunternehmung Kratz GmbH,info@kratzbau.com,(0228) 9 62 18 00,https://www.gelbeseiten.de/gsbiz/33f9d27a-14a7-4fc7-a7a6-50a9cd14d899
148,Klou,info@klougbauunternehmung.de,(02191) 2 09 65 91,https://www.gelbeseiten.de/gsbiz/4ca60824-01ad-4df0-a561-f26b4a55c00a
149,Meyer Bau GmbH,meyerbau-limburg@t-online.de,(06431) 2 45 07,https://www.gelbeseiten.de/gsbiz/2dda0eb9-d353-4631-82e4-da8c235c14d8
150,Bau - Betreuung Ballenstedt GmbH Halberstadt BBB-Massivhaus®,info@bbb-massivhaus.de,(03941) 57 36 90,https://www.gelbeseiten.de/gsbiz/0e92ab44-715f-444d-a5d9-16601d188be8
